S. No.,State/ UT,Less than 5 years - Male - 2014,Less than 5 years - Female - 2014,6-9 Years - Male - 2014,6-9 Years - Female - 2014,10-14 Years - Male - 2014,10-14 Years - Female - 2014,15-17 Years - Male - 2014,15-17 Years - Female - 2014,18-20 Years - Male - 2014,18-20 Years - Female - 2014,21-24 Years - Male - 2014,21-24 Years - Female - 2014,25-34 Years - Male - 2014,25-34 Years - Female - 2014,35-44 Years - Male - 2014,35-44 Years - Female - 2014,45-54 Years - Male - 2014,45-54 Years - Female - 2014,55-64 Years - Male - 2014,55-64 Years - Female - 2014,65 and Above - Male - 2014,65 and Above - Female - 2014,Unknown Age - Male - 2014,Unknown Age - Female - 2014,Less than 18 years - Male - 2016,Less than 18 years - Female - 2016,18-25 - Male - 2016,18-25 - Female - 2016,25-35 - Male - 2016,25-35 - Female - 2016,35-45 - Male - 2016,35-45 - Female - 2016,45-60 - Male - 2016,45-60 - Female - 2016,60 and Above - Male - 2016,60 and Above - Female - 2016,Age not known - Male - 2016,Age not known - Female - 2016
1,Andhra Pradesh,0,0,0,0,111,30,190,81,498,100,997,195,1773,365,1390,255,824,188,288,72,185,42,253,71,390,83,1468,161,1715,241,2079,244,1278,174,458,93,121,36
2,Arunachal Pradesh,0,0,0,0,0,0,17,5,23,3,19,5,12,3,12,3,6,3,7,1,0,0,0,0,23,3,34,3,37,3,25,4,14,1,0,0,2,0
3,Assam,15,8,42,24,91,28,130,21,391,38,387,49,423,45,358,55,178,23,108,20,19,14,41,14,165,38,633,56,541,77,566,56,265,38,51,14,53,19
4,Bihar,44,6,99,32,250,75,449,76,672,113,628,104,703,103,571,91,385,68,169,44,167,21,27,16,602,167,1192,201,884,175,663,108,400,73,148,23,222,43
5,Chhattisgarh,5,3,16,13,52,27,125,39,370,49,597,77,896,74,877,69,458,57,132,32,21,20,8,5,242,65,858,110,886,127,704,97,471,71,192,52,33,0
6,Goa,1,1,1,1,2,1,4,0,28,3,59,8,55,5,51,7,28,1,20,3,8,2,1,0,3,1,51,3,91,4,87,3,81,1,10,1,0,0
7,Gujarat,13,13,53,16,96,45,274,63,582,133,1231,186,1611,291,1490,214,927,123,369,53,134,38,0,0,369,107,1466,206,1862,328,1704,284,1052,184,309,86,156,23
8,Haryana,10,5,85,60,200,165,210,190,350,269,381,295,363,197,349,290,242,233,117,90,104,75,115,88,1186,266,602,72,846,124,761,86,519,66,217,27,211,41
9,Himachal Pradesh,7,5,9,5,18,8,22,3,168,19,176,35,279,45,211,22,90,8,36,4,12,5,10,2,80,39,178,69,210,77,95,80,207,100,98,35,3,0
10,Jammu & Kashmir,0,0,2,0,11,5,40,10,57,14,89,17,80,37,100,37,86,31,73,26,15,6,187,69,29,14,145,25,203,18,157,17,49,5,7,2,242,45
11,Jharkhand,3,2,14,4,77,10,447,39,243,45,308,65,358,80,232,79,320,46,84,28,105,10,5,24,310,22,393,59,397,50,251,21,291,31,239,83,846,34
12,Karnataka,62,34,83,35,209,51,440,76,1346,98,1642,130,1487,192,1361,182,1142,190,853,143,387,113,186,10,412,149,2095,237,2848,293,2303,348,1412,288,448,104,137,59
13,Kerala,10,12,47,19,95,24,120,41,306,46,592,56,688,106,581,108,396,114,322,101,205,60,0,0,55,36,1051,112,921,116,802,137,614,231,134,77,1,0
14,Madhya Pradesh,0,0,0,0,190,90,400,101,1020,199,1250,141,1390,249,1072,221,785,175,400,101,240,80,373,92,412,158,1857,212,2368,320,1956,293,1109,183,388,102,253,35
15,Maharashtra,31,13,62,28,184,116,231,125,736,278,2860,358,1697,472,1880,485,2006,459,303,182,121,93,72,11,339,99,2413,284,3075,409,2727,367,1947,285,533,103,318,36
16,Manipur,0,0,2,0,5,0,11,2,18,2,22,3,37,3,26,1,23,4,6,1,2,0,0,0,5,3,18,2,25,1,11,5,1,4,1,2,3,0
