STATES/UTs,TRANSPORT-Multi-axled/ Articulated Vehicles/ Trucks and Lorries,TRANSPORT-Light Motor Vehicle (Goods),TRANSPORT-Buses,TRANSPORT-Taxis,TRANSPORT-Light Motor Vehicle (Passenger),Total Transport,NON-TRANSPORT-Two Wheelers,NON-TRANSPORT-Cars,NON-TRANSPORT-Jeeps,NON-TRANSPORT-Omni Buses,NON-TRANSPORT-Tractors,NON-TRANSPORT-Trailers,NON-TRANSPORT-Others,Total Non Transport,Grand Total (Transport + Non-Transport)
Andhra Pradesh,218733.00,165918.00,49480.00,84150.00,323293.00,841574.00,5262086.00,619092.00,28476.00,41959.00,212904.00,193524.00,8331.00,6366372.00,7207946.00
Arunachal Pradesh*,2355.00,601.00,682.00,343.00,1449.00,5430.00,11112.00,2595.00,2284.00,0.00,345.00,155.00,180.00,16671.00,22101.00
Assam,105565.00,25451.00,12570.00,16382.00,41267.00,201235.00,667788.00,184088.00,15347.00,1162.00,13170.00,9830.00,23802.00,915187.00,1116422.00
Bihar,54414.00,54153.00,18533.00,27066.00,0.00,154166.00,1197875.00,92528.00,50522.00,0.00,144801.00,86233.00,13015.00,1584974.00,1739140.00
Chhattisgarh,67634.00,29803.00,36814.00,5811.00,12245.00,152307.00,1553104.00,79616.00,10395.00,0.00,73489.00,61412.00,4548.00,1782564.00,1934871.00
Goa,33596.00,6316.00,6770.00,11901.00,12826.00,71409.00,436662.00,109215.00,730.00,0.00,0.00,0.00,5943.00,552550.00,623959.00
Gujarat,239404.00,314388.00,56214.00,58412.00,396828.00,1065246.00,7579457.00,869808.00,135014.00,0.00,362799.00,248751.00,27981.00,9223810.00,10289056.00
Haryana,220470.00,90793.00,26906.00,13869.00,63914.00,415952.00,2463672.00,541380.00,108885.00,0.00,430365.00,0.00,13030.00,3557332.00,3973284.00
Himachal Pradesh,30409.00,24097.00,3681.00,15718.00,2611.00,76516.00,200163.00,69482.00,14589.00,259.00,8197.00,1689.00,0.00,294379.00,370895.00
Jammu and Kashmir,38977.00,22674.00,23149.00,16815.00,18440.00,120055.00,341834.00,128398.00,11295.00,219.00,15615.00,622.00,2209.00,500192.00,620247.00
Jharkhand,106463.00,59451.00,11270.00,37439.00,0.00,214623.00,1428934.00,139053.00,40269.00,0.00,26785.00,0.00,0.00,1635041.00,1849664.00
Karnataka,198955.00,145809.00,49586.00,137064.00,243034.00,774448.00,4230864.00,791014.00,38319.00,60972.00,142521.00,138919.00,40318.00,5442927.00,6217375.00
Kerala,65707.00,271763.00,414678.00,69263.00,410637.00,1232048.00,2367602.00,603842.00,128082.00,3559.00,10207.00,3503.00,81386.00,3198181.00,4430229.00
