S. No.,State/ UT,Near School or College - Total Acc. - 2014,Near School or College - Persons Killed - 2014,Near School or College - Persons Injured - 2014,Near or inside a village - Total Acc. - 2014,Near or inside a village - Persons Killed - 2014,Near or inside a village - Persons Injured - 2014,Near a Factory/Industrial area - Total Acc. - 2014,Near a Factory/Industrial area - Persons Killed - 2014,Near a Factory/Industrial area - Persons Injured - 2014,Near a religious place - Total Acc. - 2014,Near a religious place - Persons Killed - 2014,Near a religious place - Persons Injured - 2014,Near a recreation place/cinema - Total Acc. - 2014,Near a recreation place/cinema - Persons Killed - 2014,Near a recreation place/cinema - Persons Injured - 2014,In bazaar - Total Acc. - 2014,In bazaar - Persons Killed - 2014,In bazaar - Persons Injured - 2014,Near office complex - Total Acc. - 2014,Near office complex - Persons Killed - 2014,Near office complex - Persons Injured - 2014,Near hospital - Total Acc. - 2014,Near hospital - Persons Killed - 2014,Near hospital - Persons Injured - 2014,Residential area - Total Acc. - 2014,Residential area - Persons Killed - 2014,Residential area - Persons Injured - 2014,Open area - Total Acc. - 2014,Open area - Persons Killed - 2014,Open area - Persons Injured - 2014,Near bus stop - Total Acc. - 2014,Near bus stop - Persons Killed - 2014,Near bus stop - Persons Injured - 2014,Near petrol pump - Total Acc. - 2014,Near petrol pump - Persons Killed - 2014,Near petrol pump - Persons Injured - 2014,At pedestrian crossing - Total Acc. - 2014,At pedestrian crossing - Persons Killed - 2014,At pedestrian crossing - Persons Injured - 2014,Affected by encroachments - Total Acc. - 2014,Affected by encroachments - Persons Killed - 2014,Affected by encroachments - Persons Injured - 2014,Narrow Bridge or culverts - Total Acc. - 2014,Narrow Bridge or culverts - Persons Killed - 2014,Narrow Bridge or culverts - Persons Injured - 2014,Near School/College/any other educational Institutes - Total Accidents - 2016,Near School/College/any other educational Institutes - Persons Killed - 2016,Near School/College/any other educational Institutes - Persons Injured - 2016,Pedestrian crossing - Total Accidents - 2016,Pedestrian crossing - Persons Killed - 2016,Pedestrian crossing - Persons Injured - 2016,Market Place - Total Accidents - 2016,Market Place - Persons Killed - 2016,Market Place - Persons Injured - 2016,Near Office Complex - Total Accidents - 2016,Near Office Complex - Persons Killed - 2016,Near Office Complex - Persons Injured - 2016,Near a Religious Place - Total Accidents - 2016,Near a Religious Place - Persons Killed - 2016,Near a Religious Place - Persons Injured - 2016,Near Hospital - Total Accidents - 2016,Near Hospital - Persons Killed - 2016,Near Hospital - Persons Injured - 2016,Residential Area - Total Accidents - 2016,Residential Area - Persons Killed - 2016,Residential Area - Persons Injured - 2016,Encroached Area - Total Accidents - 2016,Encroached Area - Persons Killed - 2016,Encroached Area - Persons Injured - 2016,Narrow bridge or culverts - Total Accidents - 2016,Narrow bridge or culverts - Persons Killed - 2016,Narrow bridge or culverts - Persons Injured - 2016,Near Petrol Pump - Total Accidents - 2016,Near Petrol Pump - Persons Killed - 2016,Near Petrol Pump - Persons Injured - 2016,Near Bus Stand - Total Accidents - 2016,Near Bus Stand - Persons Killed - 2016,Near Bus Stand - Persons Injured - 2016,Near or on Road under Construction - Total Accidents - 2016,Near or on Road under Construction - Persons Killed - 2016,Near or on Road under Construction - Persons Injured - 2016,Open Area - Total Accidents - 2016,Open Area - Persons Killed - 2016,Open Area - Persons Injured - 2016
1,Andhra Pradesh,1110,301,1486,3782,1255,4762,830,277,981,760,230,891,594,130,621,1452,498,1957,415,134,417,622,173,596,2051,528,2627,6693,2565,8012,1308,370,1495,707,282,847,2401,609,2732,322,94,430,1393,462,2077,1393,451,1604,2026,777,2269,842,272,1016,844,260,859,1094,404,1236,516,160,591,3946,1224,4449,482,152,493,1425,494,1800,868,289,1030,1151,373,1409,389,199,572,9912,3486,12723
2,Arunachal Pradesh,23,8,48,0,0,0,0,0,0,5,4,15,0,0,0,71,35,82,2,1,0,21,15,50,15,12,28,29,20,30,16,14,25,23,10,30,0,0,0,0,0,0,0,0,0,15,9,37,10,3,31,18,0,27,17,22,46,4,4,19,10,9,21,39,19,41,4,0,14,33,17,39,3,0,13,3,0,11,15,16,39,78,50,53
3,Assam,409,157,348,792,296,716,364,123,254,209,73,212,161,50,155,666,234,546,253,85,197,261,82,259,617,191,581,2449,929,2138,316,88,280,243,67,433,268,85,251,35,9,39,101,53,90,488,153,334,505,174,406,667,235,464,326,118,216,284,86,302,295,108,209,813,310,756,226,55,208,288,97,242,308,98,254,367,114,285,254,69,231,2614,955,2220
4,Bihar,699,342,517,2050,1064,1443,349,161,234,362,170,272,305,129,228,1026,483,782,161,77,123,291,144,202,674,328,370,1957,1181,1322,469,215,300,337,156,197,320,180,262,331,165,236,225,118,152,667,369,444,573,340,308,787,420,589,196,104,159,344,178,238,200,102,142,1105,672,759,268,140,175,332,202,246,336,208,232,336,197,250,272,130,179,2806,1839,1930
5,Chhattisgarh,577,162,579,3444,1160,3470,658,220,498,512,125,482,293,77,322,683,211,596,527,107,582,364,96,336,1498,366,1329,3384,1008,3221,487,121,442,456,115,419,265,75,221,60,18,72,613,161,588,648,155,587,320,81,282,1027,280,874,595,109,630,386,72,466,365,90,382,2247,617,1986,271,45,213,612,148,504,559,121,445,438,111,409,396,97,340,5716,1982,5837
6,Goa,177,11,85,517,46,221,343,47,217,253,10,108,90,3,40,273,9,129,175,7,71,145,3,70,785,58,320,1027,85,498,310,6,72,100,2,35,6,0,3,1,0,0,27,3,10,173,5,68,7,0,3,264,8,115,304,21,127,284,13,129,222,7,92,1151,121,504,1,1,0,14,1,7,218,12,89,259,6,109,4,0,0,1403,141,783
7,Gujarat,961,278,974,3219,1341,2968,1444,475,1261,777,214,769,384,93,382,1504,341,1397,1110,292,1235,526,140,515,2613,605,2425,7481,2904,7130,1054,308,953,803,265,742,780,298,672,290,95,276,766,306,794,1109,384,1024,1174,434,1000,1197,315,1130,1122,342,985,832,285,833,617,188,581,3290,1042,2608,572,205,568,618,227,569,945,339,911,1247,417,1177,750,305,541,8386,3653,8022
8,Haryana,547,236,545,1305,525,1031,624,233,557,358,142,244,441,151,440,829,316,665,513,198,339,528,215,399,967,371,889,2390,1140,2302,658,262,495,453,211,343,579,240,446,190,115,64,294,128,185,769,312,728,2475,1137,1643,925,363,779,424,152,380,413,180,402,454,166,438,1617,676,1529,360,150,298,297,165,266,599,282,501,826,362,761,301,159,289,1774,920,2517
9,Himachal Pradesh,112,34,169,318,166,550,131,46,262,73,23,120,11,2,17,306,75,611,91,20,199,128,75,257,254,79,548,1384,603,2439,110,32,222,51,8,61,75,6,88,0,0,0,14,30,33,149,48,213,5,1,4,482,159,620,39,7,64,58,26,126,29,14,32,182,42,249,0,0,0,51,12,74,68,15,141,105,16,126,0,0,0,2000,931,4115
10,Jammu & Kashmir,24,3,13,483,64,655,120,19,59,30,5,28,52,4,32,438,55,561,57,4,19,52,8,21,425,51,533,3793,729,5694,88,11,32,20,2,23,133,27,262,52,3,45,94,7,66,79,13,76,148,20,158,271,20,261,65,12,59,55,7,66,63,8,64,615,77,808,92,25,64,14,4,8,62,17,48,95,21,104,10,6,4,3932,728,5972
11,Jharkhand,435,198,371,721,349,622,273,124,228,209,113,202,125,50,160,477,241,443,143,58,113,131,76,106,571,306,463,1392,716,978,215,102,191,130,70,162,186,107,142,88,41,108,105,77,67,484,327,402,228,108,187,445,269,352,271,143,223,323,225,200,214,138,195,918,514,621,144,102,180,206,132,191,162,100,143,300,193,261,120,104,100,1117,672,738
12,Karnataka,1915,378,2528,6075,1593,7961,1752,402,2139,1575,332,2242,855,140,1231,2133,431,2973,1493,239,2032,1232,232,1622,4008,832,4856,14590,3946,18840,2750,604,3497,1219,263,1491,1980,510,2345,339,70,573,1797,480,2501,2034,429,2453,3304,669,3607,1777,373,2207,1823,361,2143,2401,506,2795,1478,298,1761,4078,879,4895,559,78,613,1847,446,2098,1608,350,1838,2993,709,3299,740,238,986,19761,5797,25861
