STATES/UTs,TRANSPORT-Multi-axled/ Articulated Vehicles/ Trucks and Lorries,TRANSPORT-Light Motor Vehicle (Goods),TRANSPORT-Buses,TRANSPORT-Taxis,TRANSPORT-Light Motor Vehicle (Passenger),Total Transport,NON-TRANSPORT-Two Wheelers,NON-TRANSPORT-Cars,NON-TRANSPORT-Jeeps,NON-TRANSPORT-Omni Buses,NON-TRANSPORT-Tractors,NON-TRANSPORT-Trailers,NON-TRANSPORT-Others,Total Non Transport,Grand Total (Transport + Non-Transport)
Andhra Pradesh,253415,302124,70075,129322,576480,1331416,9291132,1058184,30400,60897,342416,289422,20461,11092912,12424328
Assam,144183,47296,15787,33999,67921,309186,1101265,311917,20968,1248,19655,15290,27591,1497934,1807120
Bihar,83191,NA,24097,52218,113088,272594,2230069,160340,84949,NA,219509,126618,18801,2840286,3112880
Chhattisgarh,91068,50373,12049,13515,17913,184918,2503781,154529,16561,33739,115524,85129,9857,2919120,3104038
Goa,42395,11447,9513,14338,3853,100749,589377,167544,NA,0,3114,NA,4825,764860,865609
Gujarat,301533,448958,67546,83038,561740,1462815,10512304,1411898,167991,NA,495136,317509,46064,12950902,14413717
Haryana,292735,124897,39153,23793,103995,584573,3755349,989519,121202,0,516658,0,10809,5393537,5978110
Himachal Pradesh,53763,43092,14592,25030,3963,140440,384832,171382,12704,NA,20916,220,6110,596164,736604
Jammu and Kashmir,38482,51412,25765,25577,13759,154995,480815,230328,24920,2687,15574,3289,4290,761903,916898
Jharkhand,191253,202638,13561,333420,202638,965287,1851060,227386,67139,NA,47114,NA,NA,2192699,3157986
Karnataka,233422,221160,62501,142700,285408,1062081,7737366,1269430,42179,113204,363993,251553,69795,9847520,10909601
Kerala,76330,323891,396826,108877,601507,1622543,3811343,1151566,137547,3798,11602,3656,151259,5270771,6893314
Madhya Pradesh,121916,95702,40551,122969,86068,467206,6411155,424644,51197,NA,545115,224033,20809,7676953,8144159
Maharashtra,411418,656407,100097,175797,640040,1983759,13921763,2307841,423305,19021,419291,324824,32557,17448602,19432361
Manipur,8599,4054,2868,2567,11854,29942,148942,17299,12241,1605,3326,394,774,184581,214523
Meghalaya,25451,7210,4323,16205,6744,59934,65712,49728,15682,3,751,2794,3234,137904,197838
Mizoram,4285,6194,1141,8183,2955,22758,60278,13839,4082,0,274,79,520,79072,101830
Nagaland,84008,17799,5542,6970,14429,128748,61546,53074,27083,505,2482,1072,1908,147670,291438
Odisha,130030,109719,21917,56464,74313,392443,2946118,186323,44396,3668,83079,73110,29393,3366087,3758530
Punjab,125898,75860,30160,18539,66734,317191,4729594,616549,63527,NA,517743,1172,17163,5945748,6262939
Rajasthan,362028,69509,83345,89053,134345,738280,6629743,591069,254840,NA,699881,71665,NA,8247198,8985478
Sikkim,3930,947,613,8816,NA,14306,7447,13933,6086,1484,76,2,NA,29028,43334
Tamil Nadu,467225,353883,144251,278005,301982,1545346,13846378,1504735,58718,19957,186670,71403,179041,15866902,17412248
Tripura,11166,8452,2312,3530,19203,44663,129343,12390,15542,NA,1015,357,908,159555,204218
Uttarakhand,23786,26670,8504,25415,13004,97379,897651,188152,9762,1903,41847,5883,1465,1146663,1244042
Uttar Pradesh,162813,176164,34428,59379,175649,608433,12410064,1108100,200316,23473,1064284,15278,15326,14836841,15445274
West Bengal,281995,NA,35603,84591,63424,465613,2717713,575085,NA,NA,70980,NA,31350,3395128,3860741
Andaman and Nicobar Islands,2484,NA,903,489,3803,7679,54220,14632,NA,NA,NA,NA,532,69384,77063
Chandigarh,2689,23015,5170,3491,0,34365,737263,286584,NA,NA,196,NA,NA,1024043,1058408
Dadra and Nagar Haveli,8935,3380,321,151,632,13419,48550,21762,568,0,36,186,0,71102,84521
Daman and Diu,3818,3434,512,49,1230,9043,52339,22175,542,51,352,213,141,75813,84856
Delhi,4792,124547,20142,62335,68653,280469,4661714,2172069,68648,89373,1343,NA,76504,7069651,7350120
Lakshadweep,0,728,0,207,420,1355,7698,122,121,0,102,0,499,8542,9897
Puducherry,7849,10544,2596,1990,5221,28200,625251,85418,3882,3123,1077,1781,6544,727076,755276
All India,4056885,3601506,1296764,2011022,4242968,15482128,115419175,17569546,1987098,379739,5811131,1886932,788530,143842151,159490578
